0,4,27
1,0,17
2,4,25
3,4,27
4,4,27
5,4,29
6,4,23
7,2,27
8,4,27
9,2,29
10,2,27
11,2,29
12,4,23
13,2,25
14,2,23
15,2,25
16,2,25
17,2,25
18,1,29
19,0,23
20,4,28
21,4,32
22,4,30
23,4,30
24,0,25
25,6,23
26,0,22
27,4,25
28,4,27
29,4,27
30,0,25
31,0,17
32,0,17
33,0,17
34,0,15
35,6,17
36,0,15
37,4,19
38,0,17
39,4,22
40,4,23
41,4,23
42,0,23
43,6,25
44,4,26
45,4,25
46,4,27
47,4,23
48,1,19
49,6,15
50,4,21
51,4,22
52,4,23
53,1,21
54,0,21
55,0,23
56,4,21
57,4,25
58,4,23
59,2,31
60,2,33
61,2,34
62,2,34
63,4,23
64,6,22
65,4,23
66,4,25
67,0,23
68,2,26
69,0,25
70,2,25
71,2,25
72,2,23
73,4,21
74,2,22
75,0,20
76,2,24
77,2,23
78,2,23
79,2,27
80,2,29
81,2,30
82,2,28
83,2,23
84,2,24
85,2,23
86,2,25
87,0,23
88,2,26
89,2,25
90,2,30
91,2,30
92,4,25
93,4,27
94,4,27
95,1,25
96,2,27
97,2,24
98,4,27
99,2,28
100,2,27
101,4,29
102,4,25
103,4,25
104,2,22
105,2,25
106,4,25
107,2,25
108,2,26
109,4,25
110,2,25
111,1,26
112,5,21
113,0,21
114,4,25
115,1,25
116,0,26
117,0,24
118,5,22
119,0,20
120,6,20
121,0,24
122,1,22
123,1,26
124,0,14
125,4,14
126,4,20
127,0,20
128,0,14
129,0,16
130,0,16
131,4,20
132,1,20
133,5,23
134,0,24
135,4,22
136,0,19
137,6,21
138,4,23
139,6,23
140,0,24
141,0,14
142,4,14
143,5,19
144,0,12
145,0,16
146,0,16
147,4,18
148,0,20
149,6,14
150,0,20
151,0,16
152,0,20
153,6,20
154,0,23
155,0,18
156,0,18
157,0,18
158,0,16
159,0,16
160,6,19
161,0,20
162,6,14
163,0,12
164,0,12
165,0,14
166,1,12
167,0,16
168,6,12
169,0,14
170,0,10
171,0,14
172,1,6
173,0,14
174,6,15
175,6,20
176,6,18
177,4,18
178,0,19
179,0,10
180,4,14
181,4,14
182,0,10
183,6,14
184,4,12
185,4,14
186,0,14
187,6,14
188,4,12
189,4,14
190,4,14
191,0,16
192,4,12
193,4,16
194,0,16
195,6,20
196,0,24
197,1,20
198,0,22
199,0,16
200,0,16
201,0,12
202,4,12
203,0,16
204,4,14
205,0,16
206,0,16
207,4,18
208,0,16
209,5,16
210,1,22
211,4,27
212,4,16
213,4,16
214,6,12
215,4,14
216,4,14
217,4,16
218,4,18
219,4,20
220,4,20
221,5,22
222,1,26
223,0,18
224,0,18
225,0,14
226,0,14
227,0,16
228,4,18
229,0,18
230,0,21
231,2,25
232,2,25
233,2,26
234,4,23
235,2,26
236,0,18
237,6,16
238,0,18
239,4,17
240,0,20
241,2,16
242,0,20
243,2,22
244,6,18
245,0,24
246,4,22
247,4,12
248,0,18
249,0,16
250,0,16
251,0,20
252,0,18
253,4,18
254,0,20
255,6,21
256,6,19
257,0,19
258,6,21
259,6,21
260,4,19
261,4,19
262,6,14
263,0,14
264,6,14
265,6,16
266,4,14
267,0,16
268,4,16
269,0,14
270,6,18
271,6,18
272,4,16
273,0,14
274,6,12
275,6,14
276,4,12
277,4,12
278,4,12
279,4,14
280,0,14
281,0,12
282,0,16
283,0,12
284,4,16
285,0,16
286,0,22
287,0,18
288,0,20
289,0,22
290,0,20
291,2,18
292,0,20
293,0,18
294,0,16
295,0,18
296,2,16
297,0,18
298,0,16
299,0,16
300,0,16
301,2,16
302,0,16
303,0,26
304,2,26
305,0,20
306,2,24
307,4,25
308,2,26
309,2,23
310,2,26
311,0,24
312,0,24
313,2,20
314,2,22
315,2,20
316,0,18
317,2,17
318,0,20
319,0,18
320,2,20
321,2,18
322,0,20
323,0,18
324,6,14
325,0,16
326,0,18
327,0,18
328,2,16
329,0,18
330,0,18
331,2,16
332,0,18
333,5,15
334,2,18
335,2,18
336,4,22
337,2,18
338,2,14
339,4,12
340,2,14
341,2,16
342,2,16
343,5,15
344,2,16
345,2,18
346,2,18
347,2,18
348,0,20
349,0,18
350,0,14
351,0,16
352,0,18
353,0,18
354,2,16
355,0,18
356,1,21
357,5,22
358,4,19
359,4,22
360,1,21
361,1,21
362,1,14
363,4,14
364,2,16
365,4,14
366,2,16
367,1,14
368,1,16
369,2,14
370,1,14
371,2,14
372,1,16
373,1,16
374,6,16
375,6,18
376,4,14
377,1,16
378,1,16
379,1,19
380,6,14
381,6,14
382,4,14
383,4,14
384,4,12
385,1,14
386,4,14
387,1,6
388,4,14
389,1,14
